"感觉逻辑清晰,老师讲的很有代入感,当然
希望这么好的课程 不!要!下!线!啊!",474,5.0
"我爱C语言，我喜欢翁恺老师的课，我学这门课不是为了学习知识，一种对C语言和我喜欢的老师的情怀。请注意，我不是在开玩笑，而是真话。C语言是我接触的第二门计算机语言，也是向我打开计算机世界的一门语言，它小巧、简介、表达力丰富，有很多的软件都是以C语言写作完成的。翁恺老师是我在2010年接触到的，当时，我们学校的图书馆有一个视频教程，就是翁老师i讲解的，讲的是web系统制作的技术，我仔细听过这门视频课程，发现翁老师对教育、对计算机充满了热情，我能感受到老师对计算机的热爱，我被他深深的感染了，之后我陆续从网上跟着老师的视频教程学习了C  、Java等课程。看到这门《C语言程序设计进阶》的时候，我也就顺利成章的学习了。感谢翁老师，虽然没有谋面，但是他的真诚、热情已经深深的影响了一个北京的学生的学业和事业。目前我在中国科学院工作，是一名工程师，我热爱我的工作，这种热爱是受到翁老师的感染而加深了的。
",408,5.0
这些东西都是人写出来的，大家都是一个大脑，现在你写不出来，只是你还有东西不知道。,268,5.0
"# include<stdio.h> 
int main(){
   printf(""好好好！"")
return0;
}
",256,5.0
"超级好的课！！！
本人10年大学毕业，一直从事互联网产品、运营类工作。今年想自学一些编程知识，终于找到翁老师的课，深入浅出，逻辑清晰，0基础学习最好课程。

-----------------------期待翁老师后续能多出一些课程。-------------------------

顺便说一句，评价说好的那些童靴们~内容说着好，结果还尽然打个……3星的……你们要求高没关系，希望别因此影响了后面同学的选择，而错过了这么好的课程，走了弯路，浪费了他们的学习时间。
感谢翁老师，感谢网易，感谢高教社。",215,5.0
本人在校2本大学生，学习机械专业，一心想掌握高超的电脑技术，在慕课平台上找到了一片乐土，翁恺老师讲课平易近人，通俗易懂，在学习了浙大c基础入门后，继续学习进阶课程，我对这位老师的教学能力有着极高的评价，我也会在计算机技术这条路上继续努力，将来有出息我会去拜访翁老师，感谢您的培养！最后祝老师身体健康，工作顺利，桃李满天下，四海皆学子！,151,5.0
听了这课让我一个生科院的想考浙大计算机系,88,5.0
浙大也许是一生的梦想吧，感谢Mooc,69,5.0
我说这是五星 谁赞成谁反对？,43,5.0
老师的厉害在哪呢？首先我感觉老师对计算机程序有着非常的了解，在上课的时候我感觉到了老师对全局的把握，而且以一种计算机思维来引导我们学习，或许正是他的引导，当我们以后成为一名优秀的程序员到时候，会感激这样的引导，这样的循序渐进的思维。第二我想说的是老师室友自己独特的人格魅力的，厉害的老师不多，但又有这样的情怀的老师更少。别的都不多说了，我一直都在看这个课。也为C语言的初学者推荐一下，或许这是你C语言最宝贵的入门。,37,5.0
